id,name,stop,line
78f3,Parkside Av,D27,Q
cf15,Prospect Park,D26,Q
72e2,Sheepshead Bay,D39,Q
84ac,Times Sq - 42 St,127,Q
84ac,Times Sq - 42 St,725,Q
84ac,Times Sq - 42 St,902,Q
84ac,Times Sq - 42 St,R16,Q
82bd,Union Sq - 14 St,635,Q
82bd,Union Sq - 14 St,L03,Q
82bd,Union Sq - 14 St,R20,Q
099d,W 8 St - NY Aquarium,D42,Q
a3a3,23 St,R19,R
e61d,25 St,R35,R
ea7e,28 St,R18,R
6854,34 St - Herald Sq,D17,R
6854,34 St - Herald Sq,R17,R
38c3,36 St,R36,R
7b17,36 St,G20,R
a9a9,4 Av / 9 St,F23,R
a9a9,4 Av / 9 St,R33,R
a081,45 St,R39,R
1ea4,46 St,G18,R
2d15,49 St,R15,R
5034,5 Av/59 St,R13,R
b8a1,53 St,R40,R
05e1,57 St - 7 Av,R14,R
f916,59 St,R41,R
f3e5,63 Dr - Rego Park,G10,R
22f3,65 St,G15,R
5545,67 Av,G09,R
c6a0,74 St - Broadway - Roosevelt Av,710,R
c6a0,74 St - Broadway - Roosevelt Av,G14,R
11c7,77 St,R43,R
1fd4,8 St - NYU,R21,R
75ee,86 St,R44,R
d2c6,Atlantic Av - Barclays Ctr,235,R
d2c6,Atlantic Av - Barclays Ctr,D24,R
d2c6,Atlantic Av - Barclays Ctr,R31,R
7a5d,Bay Ridge - 95 St,R45,R
5d6e,Bay Ridge Av,R42,R
4e75,Borough Hall / Court St,232,R
4e75,Borough Hall / Court St,423,R
4e75,Borough Hall / Court St,R28,R
7f0a,Canal St,639,R
7f0a,Canal St,M20,R
7f0a,Canal St,Q01,R
7f0a,Canal St,R23,R
5f40,City Hall,R24,R
14b5,Cortlandt St,R25,R
52ed,DeKalb Av,R30,R
1953,Elmhurst Av,G13,R
87ff,Forest Hills - 71 Av,G08,R
ecbb,Grand Av - Newtown,G12,R
923c,Jay St - MetroTech,A41,R
923c,Jay St - MetroTech,R29,R
5f44,Lexington Av/59 St,629,R
5f44,Lexington Av/59 St,R11,R
25fa,Northern Blvd,G16,R
d008,Prince St,R22,R
7c33,Prospect Av,R34,R
ce5b,Queens Plaza,G21,R
1a2a,Rector St,R26,R
ecd5,South Ferry Loop / Whitehall St,140,R
ecd5,South Ferry Loop / Whitehall St,R27,R
b83f,Steinway St,G19,R
84ac,Times Sq - 42 St,127,R
84ac,Times Sq - 42 St,725,R
84ac,Times Sq - 42 St,902,R
84ac,Times Sq - 42 St,R16,R
82bd,Union Sq - 14 St,635,R
82bd,Union Sq - 14 St,L03,R
82bd,Union Sq - 14 St,R20,R
1b5c,Union St,R32,R
62a4,Woodhaven Blvd,G11,R
87d2,Grand Central - 42 St,631,S
87d2,Grand Central - 42 St,723,S
87d2,Grand Central - 42 St,901,S
84ac,Times Sq - 42 St,127,S
84ac,Times Sq - 42 St,725,S
84ac,Times Sq - 42 St,902,S
84ac,Times Sq - 42 St,R16,S
f248,Annadale,S17,SI
7cc9,Arthur Kill,S11,SI
a90d,Bay Terrace,S20,SI
c6e1,Clifton,S28,SI
951f,Dongan Hills,S25,SI
e840,Eltingville,S18,SI
2c9c,Grant City,S23,SI
478e,Grasmere,S27,SI
3f21,Great Kills,S19,SI
6e0b,Huguenot,S16,SI
9faa,Jefferson Av,S24,SI
7580,New Dorp,S22,SI
7c25,Oakwood Heights,S21,SI
40de,Old Town,S26,SI
e875,Pleasant Plains,S14,SI
74a2,Prince's Bay,S15,SI
688b,Richmond Valley,S13,SI
69be,St George,S31,SI
a85e,Stapleton,S29,SI
c317,Tompkinsville,S30,SI
5265,Tottenville,S09,SI
a3a3,23 St,R19,W
ea7e,28 St,R18,W
529d,30 Av,R04,W
6854,34 St - Herald Sq,D17,W
6854,34 St - Herald Sq,R17,W
a47d,36 Av,R06,W
82e4,39 Av,R08,W
2d15,49 St,R15,W
5034,5 Av/59 St,R13,W
05e1,57 St - 7 Av,R14,W
1fd4,8 St - NYU,R21,W
5925,Astoria - Ditmars Blvd,R01,W
0fd1,Astoria Blvd,R03,W
e54a,Broadway,R05,W
7f0a,Canal St,639,W
7f0a,Canal St,M20,W
7f0a,Canal St,Q01,W
7f0a,Canal St,R23,W
5f40,City Hall,R24,W
14b5,Cortlandt St,R25,W
5f44,Lexington Av/59 St,629,W
5f44,Lexington Av/59 St,R11,W
d008,Prince St,R22,W
66ce,Queensboro Plaza,718,W
66ce,Queensboro Plaza,R09,W
1a2a,Rector St,R26,W
ecd5,South Ferry Loop / Whitehall St,140,W
ecd5,South Ferry Loop / Whitehall St,R27,W
84ac,Times Sq - 42 St,127,W
84ac,Times Sq - 42 St,725,W
84ac,Times Sq - 42 St,902,W
84ac,Times Sq - 42 St,R16,W
82bd,Union Sq - 14 St,635,W
82bd,Union Sq - 14 St,L03,W
82bd,Union Sq - 14 St,R20,W
